# The Starry Night (F612/JH1731): 11 central stars, three independent CAD measurements (mm).
# S8 is the bright body interpreted as Venus. Means are in F612_mean.csv.
star_id,m1_x,m1_y,m2_x,m2_y,m3_x,m3_y
S1,40.94,398.14,41.65,397.90,41.31,397.84
S2,99.20,696.20,99.81,696.22,99.75,695.92
S3,122.93,378.37,123.24,378.36,122.96,378.61
S4,214.68,704.31,214.76,704.54,214.92,704.27
S5,219.30,600.67,219.33,600.67,219.01,600.62
S6,301.92,490.88,302.48,491.24,302.09,490.97
S7,319.23,700.01,320.76,699.94,319.47,699.51
S8,330.84,339.95,331.12,340.12,330.70,339.97
S9,380.10,681.07,379.80,681.27,380.03,680.90
S10,563.47,666.73,565.05,666.31,564.11,666.18
S11,654.31,558.35,654.12,557.91,655.18,557.55
